Positive,Negative,Neutral,Time
0.305,0.0,0.695,2011-04-27
0.0,0.138,0.862,2012-09-07
0.155,0.091,0.754,2008-08-18
0.0,0.0,1.0,2011-06-13
0.448,0.0,0.552,2012-10-21
0.163,0.029,0.809,2012-07-12
0.273,0.034,0.693,2012-06-20
0.48,0.0,0.52,2012-05-03
0.149,0.0,0.851,2011-11-23
0.295,0.0,0.705,2012-10-26
0.137,0.017,0.846,2005-02-08
0.0,0.113,0.887,2010-08-27
0.046,0.031,0.923,2012-06-13
0.645,0.0,0.355,2010-11-05
0.264,0.104,0.632,2010-03-12
0.139,0.0,0.861,2009-12-29
0.209,0.097,0.694,2012-09-20
0.39,0.0,0.61,2012-08-16
0.103,0.012,0.885,2011-12-23
0.137,0.0,0.863,2011-10-08
0.135,0.0,0.865,2011-08-16
0.261,0.0,0.739,2011-06-25
0.232,0.0,0.768,2011-05-09
0.143,0.085,0.771,2011-05-04
0.068,0.038,0.895,2011-01-20
0.0,0.0,1.0,2010-10-29
0.0,0.128,0.872,2012-03-25
0.152,0.04,0.808,2012-03-16
0.309,0.022,0.669,2012-06-05
0.137,0.017,0.846,2005-02-08
0.267,0.041,0.692,2011-02-14
0.516,0.0,0.484,2010-10-29
0.092,0.069,0.839,2006-11-13
0.256,0.024,0.72,2006-12-17
0.126,0.0,0.874,2007-03-30
0.155,0.024,0.821,2008-05-11
0.246,0.0,0.754,2007-09-27
0.062,0.0,0.938,2009-03-31
0.104,0.05,0.846,2012-10-21
0.144,0.0,0.856,2011-09-28
0.147,0.033,0.82,2011-04-22
0.122,0.03,0.848,2011-04-07
0.412,0.0,0.588,2010-10-14
0.315,0.0,0.685,2009-10-13
0.191,0.031,0.778,2008-05-02
0.0,0.0,1.0,2008-03-11
0.263,0.0,0.737,2007-10-19
0.132,0.0,0.868,2008-01-12
0.179,0.0,0.821,2007-10-07
0.079,0.056,0.865,2012-04-10
0.0,0.22,0.78,2008-02-19
0.218,0.047,0.735,2009-06-02
0.052,0.09,0.858,2012-09-29
0.0,0.075,0.925,2010-07-02
0.143,0.0,0.857,2011-11-28
0.221,0.071,0.708,2012-10-05
0.277,0.029,0.694,2011-11-28
0.299,0.0,0.701,2012-05-05
0.389,0.0,0.611,2011-11-04
0.362,0.0,0.638,2011-11-01
0.1,0.0,0.9,2011-10-16
0.259,0.0,0.741,2011-10-24
0.0,0.0,1.0,2008-07-06
0.179,0.055,0.765,2012-04-04
0.205,0.046,0.75,2012-04-05
0.138,0.04,0.822,2012-03-12
0.073,0.057,0.869,2012-08-17
0.041,0.183,0.776,2012-05-31
0.155,0.135,0.71,2007-01-20
0.136,0.344,0.52,2007-07-30
0.048,0.036,0.916,2009-10-01
0.222,0.078,0.701,2010-11-09
0.323,0.025,0.653,2012-01-20
0.144,0.093,0.762,2012-04-30
0.128,0.0,0.872,2010-10-22
0.126,0.106,0.768,2010-05-28
0.083,0.019,0.898,2012-09-24
0.168,0.034,0.798,2012-09-21
0.237,0.0,0.763,2012-09-07
0.324,0.087,0.589,2012-08-14
0.277,0.0,0.723,2011-12-29
0.337,0.0,0.663,2011-12-23
0.165,0.04,0.794,2012-01-04
0.178,0.055,0.767,2011-03-25
0.214,0.109,0.676,2011-08-13
0.267,0.035,0.698,2010-12-21
0.126,0.019,0.855,2012-04-06
0.215,0.05,0.735,2011-11-10
0.19,0.048,0.762,2011-07-26
0.33,0.029,0.641,2012-09-12
0.167,0.0,0.833,2012-04-26
0.163,0.0,0.837,2012-04-21
0.268,0.069,0.663,2012-04-09
0.208,0.01,0.781,2012-02-24
0.0,0.0,1.0,2012-02-19
0.237,0.031,0.732,2011-11-01
0.182,0.0,0.818,2011-04-26
0.154,0.053,0.793,2011-02-10
0.066,0.024,0.91,2011-01-18
0.092,0.173,0.735,2012-03-08
0.193,0.0,0.807,2009-01-27
0.145,0.103,0.752,2009-10-26
0.25,0.0,0.75,2012-04-23
0.141,0.0,0.859,2012-03-18
0.372,0.051,0.577,2012-01-13
0.304,0.0,0.696,2011-06-22
0.209,0.0,0.791,2009-03-07
0.196,0.0,0.804,2011-01-18
0.265,0.059,0.676,2009-05-31
0.222,0.014,0.764,2011-09-19
0.062,0.059,0.879,2009-08-21
0.19,0.0,0.81,2011-02-16
0.177,0.037,0.786,2012-05-26
0.369,0.0,0.631,2011-06-25
0.245,0.027,0.727,2012-03-30
0.355,0.0,0.645,2012-01-15
0.108,0.0,0.892,2011-05-09
0.219,0.0,0.781,2012-09-15
0.079,0.05,0.872,2010-11-29
0.203,0.013,0.785,2011-12-18
0.215,0.026,0.759,2011-07-02
0.076,0.102,0.822,2012-03-06
0.172,0.025,0.803,2011-08-12
0.188,0.017,0.795,2010-12-17
0.252,0.079,0.67,2012-10-01
0.095,0.035,0.87,2012-07-11
0.279,0.0,0.721,2012-04-12
0.299,0.067,0.633,2012-01-06
0.229,0.043,0.728,2011-08-28
0.21,0.114,0.676,2012-02-17
0.245,0.0,0.755,2012-02-29
0.105,0.135,0.76,2011-12-14
0.181,0.046,0.772,2012-07-30
0.103,0.02,0.878,2012-04-20
0.123,0.0,0.877,2012-04-17
0.1,0.0,0.9,2012-04-07
0.305,0.0,0.695,2012-10-09
0.311,0.0,0.689,2012-07-12
0.077,0.15,0.773,2012-02-14
0.125,0.043,0.833,2010-03-11
0.114,0.098,0.787,2011-08-28
0.218,0.0,0.782,2011-04-03
0.237,0.0,0.763,2010-09-30
0.274,0.059,0.667,2010-03-21
0.102,0.058,0.841,2010-04-18
0.178,0.144,0.677,2009-04-18
0.13,0.087,0.783,2008-10-22
0.075,0.058,0.867,2012-08-08
0.127,0.04,0.833,2012-10-16
0.291,0.0,0.709,2012-01-10
0.436,0.0,0.564,2012-07-05
0.216,0.0,0.784,2012-04-22
0.225,0.0,0.775,2012-01-15
0.12,0.12,0.76,2011-12-27
0.353,0.0,0.647,2010-03-01
0.232,0.0,0.768,2011-12-12
0.0,0.191,0.809,2012-01-28
0.415,0.071,0.514,2012-10-06
0.042,0.065,0.893,2009-12-06
0.14,0.081,0.779,2011-09-13
0.356,0.0,0.644,2011-12-05
0.0,0.106,0.894,2012-10-03
0.276,0.072,0.652,2012-09-22
0.085,0.047,0.869,2012-09-20
0.223,0.025,0.752,2010-03-22
0.251,0.032,0.717,2012-06-01
0.343,0.0,0.657,2012-04-11
0.045,0.05,0.905,2012-08-20
0.074,0.186,0.74,2012-10-13
0.028,0.141,0.832,2012-08-24
0.146,0.0,0.854,2012-08-13
0.116,0.04,0.844,2010-09-01
0.237,0.0,0.763,2009-12-30
0.189,0.022,0.788,2012-08-14
0.237,0.04,0.722,2010-08-03
0.126,0.0,0.874,2011-03-13
0.062,0.0,0.938,2011-12-30
0.148,0.058,0.794,2011-09-09
0.171,0.2,0.63,2011-01-02
0.122,0.048,0.829,2011-08-26
0.156,0.076,0.767,2012-01-31
0.567,0.0,0.433,2012-06-13
0.169,0.088,0.743,2012-04-18
0.143,0.0,0.857,2010-12-19
0.297,0.11,0.593,2009-02-25
0.0,0.189,0.811,2012-05-18
0.142,0.016,0.842,2012-04-08
0.176,0.0,0.824,2009-03-04
0.157,0.0,0.843,2011-08-27
0.066,0.0,0.934,2012-06-25
0.212,0.148,0.64,2012-06-07
0.25,0.0,0.75,2012-05-29
0.217,0.055,0.728,2012-05-04
